ID	Name   	Date	Format 	SoC ID 	FFUN Status	Processor/Plaform	Kernel/OS	syslog	auto_act.scr	IOP	PID	Identical Firmware	Image Sensor 	Notes
X70	Finepix X70	Jan/16	X4					syslog Ver 2.3	Y	FF119506			X-Trans CMOS II APC-S 16.3M	
XE2S	XE2S	Jan/16	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3	Y	FF119507	LX22		X-Trans CMOS II 16M	
XP90	Finepix XP90	Jan/16	SUNP			MIPS Sunplus  MIPS32_4Kx	ThreadX							
XPRO2	XPRO2	Jan/16	X4	FF4229	ELF	X Processor Pro Cortex-A7 Dual Core	ThreadX SMP	syslog Ver 2.3	Y	FF129501	LX11		X-Trans CMOS III 24M	
XT2	XT2	Jul/16	X4	FF4229	ELF	X Processor Pro Cortex-A7 Dual Core	ThreadX SMP	syslog Ver 2.3	Y	FF129502	LX42		X-Trans CMOS III 24M	
XA3	XA3	Aug/16	LEN	EV9XES	Ghidra MAP	Main ARM946E-S/Sub ARM926	µITRON/µITRON			FF119301	C5931 LX33		CMOS APS-C 24MP	
GFX50S	GFX50S	Sep/16	X4	FF4229		X Processor Pro Cortex-A7 Dual Core	ThreadX SMP	syslog Ver 2.3	Y	FF136101	SPX1		51.4MP sensor	
XP120	Finepix XP120	Jan/17	SUNP			MIPS Sunplus  MIPS32_4Kx	ThreadX							
X100F	X100F	Jan/17	X4	FF4229	ELF	X Processor Pro Cortex-A7 Dual Core	ThreadX SMP	syslog Ver 2.3	Y	FF129504	X103		X-Trans CMOS III 24M	
XT20	XT20	Jan/17	X4	FF4229	ELF	X Processor Pro Cortex-A7 Dual Core	ThreadX SMP	syslog Ver 2.3	Y	FF129503	LX35		X-Trans CMOS III 24M	
XE3	XE3	Sep/17	X5	FF4229	ELF	X Processor Pro Cortex-A7 Dual Core	ThreadX SMP	syslog Ver 2.3	Y	FF129505	LX23		X-Trans CMOS III 24M	
XP130	Finepix XP130	Jan/18	SUNP			MIPS Sunplus  MIPS32_4Kx	ThreadX							
XA20	XA20	Jan/18	LEN	EV9XES	Ghidra MAP	Main ARM946E-S/Sub ARM926				FF109504	C793A LX34? "X-A4"		CMOS APS-C 16.3MP	
XA5	XA5	Jan/18	LEN	XZ01		Main Cortex-A7/Sub Cortex-A7?	µITRON/µITRON			FF129301	C713A LX37		CMOS APS-C 24MP PDAF	
XH1	XH1	Feb/18	X6	FF4229		X Processor Pro Cortex-A7 Dual Core	ThreadX SMP	syslog Ver 2.3	Y	FF129506	LX43		X-Trans CMOS III 24M	
XT100	XT100	May/18	LEN	XZ01A LEO S7VFWOD		Main Cortex-A7/Sub Cortex-A7?	µITRON/µITRON			FF129302	C713C		CMOS APS-C 24MP PDAF	
XF10	XF10	Jul/18	LEN							FF129303	C713B		CMOS APS-C 24MP PDAF	
XT3	XT3	Sep/18	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF159501	LX44		X-Trans CMOS 4, 26M	
GFX100	GFX100	Sep/18	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP/Linux	syslog Ver 2.3	Y	FF149501	SPX2		102MP 55mm diagonal	
GFX50R	GFX50R	Sep/18	X4	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF136102	SPX3		51.4MP 55mm diag	
XP140	Finepix XP140	Feb/19	LEN			ARM926					C893A			
XT30	XT30	Feb/19	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF159502	LX39		X-Trans CMOS 4, 26M	
XA7	XA7	Sep/19	LEN	XZ01		Main Cortex-A7/Sub Cortex-A7?				FF139301	C8131 LX52		CMOS APS-C 24MP PDAF	
XPRO3	XPRO3	Oct/19	X6	FF4230		X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF159503	LX12		X-Trans CMOS 4, 26M	
XT200	XT200	Jan/20	LEN							FF139302	C8132		CMOS APS-C 24MP PDAF	
